Such Music|Doge|The Wow Collection|7|1
Roadhouse Blues|The Doors|La Woman|20|2
Worn Down|The Shoes|Rubber Soul|22|3
Cherry MDMA|DJ Skittles|Taste The Rainbow|84|4
My Writing Sucks|Jane Austin|Verisimilitude|5|5
Day At The Pond|Thoreau|Walden|37|6
Shaken Not Stirred|Bond|Spectre Dreaming|78|7
I'm The Type Of Guy|Ll Cool J|Walking With A Panther|19|8
Pew Pew|Scifi|Lasers|25|9
I Like Big Nuts|Sir Fix A Lot|Fixin Things|79|10
Infinite Jest|DFW|Stories That Are Too Long|89|11
Bertha|Grateful Dead|Terrapin Falls|5|12
Powerhouse|Mitochondria|Stuck In A Cell|87|13
Grave Digger|DMB|Dmb Live|9|14
Brunch And Brooklyn|Hipster|Midwestern Poems|45|15
Ain't Thinking About You|Chris Brown|Fan Of A Fan|90|16
Swing Life Away|Rise Against|Siren Song Of The Counter Culture|1|17
Can't Be Saved|Senses Fail|Still Searching|79|18
It's Gonna Be OKAY|The Piano Guys|UNCHARTED|34|19
Where Is The Love?|The Black Eyed Peas|Elephunk|53|20
Long After You're Gone|Chris Jones|Moonstruck & No Looking Back|45|21
Another Day In Paradise|Phil Collins|...But Seriously|83|22
You'll Be In My Heart|Phil Collins|Tarzan|74|23
Patience|Damian Marley|Distant Relatives|51|24
Welcome To Jamrock|Damian Marley|Welcome To Jamrock|56|25
Testify|Rage Against The Machine|The Battle Of Los Angeles|51|26
Lithium|Nirvana|Nevermind|48|27
Myself, I, And Me|E-Gazy|Not Dark Out|100|28
Facts B|NYC Huggen|Timbs Are My World|38|29
Lendrick Kamar|Love Your Ethnicity|Section.81|61|30
The Finishing Paragraph|Last Second Student|Finals Week|20|31
No More Homework|Last Second Student|Finals Week|69|32
Almost Overdue|Last Second Student|Finals Week|88|33
That One Thing You Forgot|Last Second Student|Insomnia|48|34
All Nighter|Last Second Student|Insomnia|80|35
Robots Ate My Code|The Sad Programmers|Random Access Music|11|36
Overheated Hardware|The Sad Programmers|Random Access Music|82|37
Recursive Thoughts|The Sad Programmers|Random Access Music|79|38
I Forgot A Semicolon|The Sad Programmers|Not Compiling|71|39
Where Is The Bug?|The Sad Programmers|Not Compiling|27|40
I Lost The Key To Your Map|The Sad Programmers|Life Structures|29|41
Don't Push Me Back|The Sad Programmers|Life Structures|70|42
Grinding For EXP|The Rpgs|Leveling Up|67|43
Boss Fight|The Rpgs|Leveling Up|57|44
Poison Damage|The Rpgs|Barely Surviving|36|45
Low HP|The Rpgs|Barely Surviving|25|46
Level 100 Monster|The Rpgs|Barely Surviving|42|47
BORK BORK|Kuro The Eskie|Kuro's Top Hit|58|48
WHERE'S MY BONE|Kuro The Eskie|Kuro's Top Hit|19|49
Will Dogemum Ever Come Back|Kuro The Eskie|Kuro's Top Hit|100|50
BORK I KNOW THIS HOOMAN BORK|Kuro The Eskie|Kuro's Top Hit|70|51
I Peed On The Fedex Guy|Kuro The Eskie|Kuro's Top Hit|83|52
Sometimes I Steal Dirty Toilet Paper|Kuro The Eskie|Kuro's Top Hit|89|53
I Peed In Our Neighbor's Fruit Garden|Kuro The Eskie|Kuro's Top Hit|28|54
Touch My Tummy|Kuro The Eskie|Kuro's Top Hit|86|55
Like Smoke|Mayday|Poetry Of The Day After|27|56
Don't Want You To Be Alone|Mayday|The Second Round|51|57
Party Animal|Mayday|Opus 9|2|58
What If We Had Never Met|Mayday|Opus 9|0|59
Love Song|Fish Leong|Fall In Love & Songs|76|60
No If|Fish Leong|Fall In Love & Songs|72|61
The Key|JJ Lin|From M.E. To Myself|83|62
The Dark Knight|JJ Lin|Stories Untold|62|63
Lion Heart|Girl's Generation|Lion Heart|0|64
Mr Taxi|Girl's Generation|The Boys|66|65
Gee|Girl's Generation|Oh!|31|66
Day By Day|T-Ara|Treasure Box|100|67
Sexy Love|T-Ara|Treasure Box|11|68
Number Nine|T-Ara|Gossip Girls|82|69
Come Together|The Beatles|Abbey Road|20|70
Oh! Darling|The Beatles|Abbey Road|71|71
Here Comes The Sun|The Beatles|Abbey Road|13|72
Scar Tissue|Red Hot Chili Peppers|Californication|62|73
Otherside|Red Hot Chili Peppers|Californication|53|74
Accidentally In Love|Counting Crows|Shrek Soundtrack|44|75
All Star|Smash Mouth|Shrek Soundtrack|12|76
I'm A Believer|Smash Mouth|Shrek Soundtrack|1|77
Sandstorm|Darude|Before The Storm|41|78
Time|Pink Floyd|The Wall|55|79
Ruby Tuesday|The Rolling Stones|Between The Buttons|89|80
Teenager|Camera Obscura|Teenager|38|81
Walk On The Wild Side|Lou Reed|Between Thought And Expression|54|82
Plastic|Moses Sumney|Mid-City Island|59|83
Our House|Madness|Total Madness|66|84
Radio Ga Ga|Queen|The Works|46|85
Ashes To Ashes|David Bowie|Scary Monsters|57|86
Like A Prayer|Modanna|Celebration|48|87
Clever Title 1|Clever Artist|Clever Album|37|88
Clever Title 2|Clever Artist|Clever Album|99|89
Clever Title 3|Clever Artist|Clever Album|32|90
Clever Title 4|Clever Artist|Clever Album|33|91
Clever Title 5|Clever Artist|Clever Album|49|92
Clever Title 6|Clever Artist|Clever Album|48|93
Clever Title 7|Clever Artist|Clever Album|22|94
Clever Title 8|Clever Artist|Clever Album|89|95
Clever Title 9|Clever Artist|Clever Album|92|96
Clever Title 10|Clever Artist|Clever Album|78|97
You Lyin?|Boyfriend's Girlfriend|Onto You|97|98
Forget It|Boyfriend's Girlfriend|Moving On|60|99
Who's That?|Boyfriend's Girlfriend|Onto You|10|100
The Nya Song|Kitty Lovers|Nyaaa|54|101
